video_id,channel_id,video_title,channel_title,category_name,live_upcoming_none,view_count,like_count,dislike_count,comment_count,published_at,tags,duration,definition,caption,thumbnail,url

d1eEWihvwpQ,UCXIJgqnII2ZOINSWNOGFThA,WHO declares coronavirus outbreak a pandemic,Fox News,News & Politics,none,457064,3624,0,1939,2020-03-11T16:50:56Z,"fox news alert,breaking news,fox,news,fox news channel,corona,corona virus,virus,coronavirus,pandemic,WHO,world health,world health organization,breaking,health,coronavirus pandemic,covid,covid 19,covid19,coronavirus news",PT51S,hd,true,https://i.ytimg.com/vi/d1eEWihvwpQ/default.jpg,https://www.youtube.com/watch?v=d1eEWihvwpQ
2j3YtPVBT30,UCXIJgqnII2ZOINSWNOGFThA,"NY Gov Cuomo talks rent payments, coronavirus cases and health care needs",Fox News,News & Politics,none,84916,539,0,543,2020-03-30T18:00:34Z,"Fox News Channel,FNC,Fox News,News,Latest News,Top stories,live stream,live,fox,fox business live,live video,live updates,fox live stream,coronavirus,corona virus,us coronavirus,coronavirus outbreak,coronavirus pandemic,coronavirus in the us,coronavirus response,us coronavirus response,coronavirus news,coronavirus updates,pandemic,covid,covid-19,covid 19,cuomo,andrew cuomo,new york coronavirus,coronavirus new york,nyc coronavirus,cuomo coronavirus",PT37M54S,hd,false,https://i.ytimg.com/vi/2j3YtPVBT30/default.jpg,https://www.youtube.com/watch?v=2j3YtPVBT30
lydWQoqDNp8,UCXIJgqnII2ZOINSWNOGFThA,Tucker: Coronavirus pandemic is a real fear,Fox News,News & Politics,none,459504,9068,0,2273,2020-02-25T02:20:00Z,"health,coronavirus,china,wuhan china,novel coronavirus,tucker carlson,tucker carlson monologue,carlson,carlson monologue,tucker,tucker monologue,tucker carlson corona virus,tucker carlson tonight,china us relationship,spread of coronavirus,fnc,fox news,fox news channel,fox news media,fox news network,wuhan virus,tucker carlson virus,coronavirus economy,economic impact of coronavirus,US dependent on china,Tucker Carlson US economy,Fox News Tucker Carlson",PT2M48S,hd,true,https://i.ytimg.com/vi/lydWQoqDNp8/default.jpg,https://www.youtube.com/watch?v=lydWQoqDNp8
jXHikITwlng,UCXIJgqnII2ZOINSWNOGFThA,"Bill Gates on his 2015 'virus' warning, efforts to fight coronavirus pandemic",Fox News,News & Politics,none,887800,8210,0,12368,2020-04-05T18:50:02Z,"Fox News Channel,Fox News,News,fox news sunday,health,tech,Fox News Sunday,Chris Wallce,Bill Gates,Bill and Melinda Gates,Coronavirus,wuhan coronavirus,wuhan china,Coronavirus treatment,Coronavirus china,coronavirus bill,public health,public health crisis,covid 19,coronavirus cases,us health,global health,coronavirus pandemic,China,Chinese government,coronavirus quarantine,virus,social distancing,white house,coronavirus relief bill",PT12M29S,hd,true,https://i.ytimg.com/vi/jXHikITwlng/default.jpg,https://www.youtube.com/watch?v=jXHikITwlng
DZLQRA5XwPY,UCXIJgqnII2ZOINSWNOGFThA,Gun sales skyrocket during coronavirus pandemic,Fox News,News & Politics,none,119355,2222,0,1199,2020-03-18T23:10:00Z,"Gun sales,coronavirus,coronavirus gun sales,gun sale spikes,ammunition sales,coronavirus ammunition sales,coronavirus gun sale spike,safe gun rights,second ammendment,ammunition shortage,William La Jeunesse,fox news coronavirus,fox news coronavirus coverage,looting,marshal law,fnc,fox news,fox news channel,fox news media,fox news network,coronavirus guns,coronavirus outbreak,coronavirus news,pandemic,pandemic fear,coronavirus fear",PT2M3S,hd,true,https://i.ytimg.com/vi/DZLQRA5XwPY/default.jpg,https://www.youtube.com/watch?v=DZLQRA5XwPY
xhpqX1NbusQ,UCXIJgqnII2ZOINSWNOGFThA,Coronavirus Pandemic: Questions Answered | Part 5,Fox News,News & Politics,none,39506,501,0,284,2020-03-16T18:25:52Z,"Fox News Channel,Fox News,News,FNC,harris faulkner,harris faulkner fox news,outnumbered overtime,coronavirus,corona virus,us coronavirus,coronavirus outbreak,coronavirus pandemic,coronavirus in the us,trump,trump coronavirus,trump coronavirus task force,coronavirus task force,coronavirus response,us coronavirus response,coronavirus news,coronavirus updates,pandemic",PT5M50S,hd,true,https://i.ytimg.com/vi/xhpqX1NbusQ/default.jpg,https://www.youtube.com/watch?v=xhpqX1NbusQ
ACLU0OxWisE,UCXIJgqnII2ZOINSWNOGFThA,Ingraham: Coronavirus pandemic spreads through US,Fox News,News & Politics,none,381527,6990,0,2883,2020-03-13T04:00:05Z,"Coronavirus,covid-19,coronavirus outbreak,coronavirus fears,pandemic,coronavirus pandemic,united states coronavirus,coronavirus response,media coronavirus,CNN coronavirus corovergae,fnc,fox news,fox news channel,fox news media,fox news network,fox news ingraham angle,ingraham,ingraham angle,ingraham angle monologue,ingraham angle tonight,ingraham tonight,laura ingraham,laura ingraham angle,laura ingraham monologue,the ingraham angle",PT5M52S,hd,true,https://i.ytimg.com/vi/ACLU0OxWisE/default.jpg,https://www.youtube.com/watch?v=ACLU0OxWisE
0pkwjVhq230,UCXIJgqnII2ZOINSWNOGFThA,Coronavirus Pandemic: Questions Answered | Part 3,Fox News,News & Politics,none,44992,416,0,125,2020-03-16T18:18:47Z,"Fox News Channel,Fox News,News,FNC,harris faulkner,harris faulkner fox news,diamond princess,cruise ship,diamond princess passenger,diamond princess cruise ship,coronavirus,corona virus,us coronavirus,coronavirus outbreak,coronavirus pandemic,coronavirus in the us,trump,trump coronavirus,trump coronavirus task force,coronavirus task force,coronavirus response,us coronavirus response,coronavirus news,coronavirus updates,pandemic",PT4M11S,hd,true,https://i.ytimg.com/vi/0pkwjVhq230/default.jpg,https://www.youtube.com/watch?v=0pkwjVhq230
eT47ulzfOMo,UCXIJgqnII2ZOINSWNOGFThA,Sources: Coronavirus pandemic may have started in Chinese laboratory,Fox News,News & Politics,none,1060722,9014,0,4882,2020-04-15T23:40:08Z,"wuhan lab incident,wuhan lab,patient zero,wuhan patient zero,china laboratory,china laboratory incident,chinese laboratory inceident,chinese laboratory,coronavirus outbreak,wuhan coronavirus,novel coronavirus,wuhan virus,fnc,fox news,fox news channel,fox news media,fox news network,John Roberts,Bret Baier,Bret Baier Special Report,Special Report Bret Baier,coronavirus,coronavirus pandemic,coronavirus updates,pandemic,COVID-19",PT3M11S,hd,true,https://i.ytimg.com/vi/eT47ulzfOMo/default.jpg,https://www.youtube.com/watch?v=eT47ulzfOMo
